depth	min	max	median	mean
0	-67	-65	-66	-66
1	-66	-64	-65	-65
2	-65	-63	-64	-64
3	-64	-62	-63	-63
4	-64	-61	-62	-62
5	-63	-60	-61	-61
6	-61	-58	-59	-59
7	-59	-55	-57	-57
8	-57	-53	-54	-54
9	-55	-50	-52	-52
10	-54	-47	-50	-50
11	-52	-46	-48	-48
12	-51	-43	-46	-47
13	-50	-41	-45	-45
14	-49	-38	-43	-43
15	-48	-34	-41	-41
16	-43	-31	-37	-37
17	-40	-26	-32	-32
18	-38	-20	-27	-28
19	-36	-12	-23	-23
20	-34	-5	-18	-18
21	-24	0	-11	-11
22	-19	11	-4	-4
23	-15	25	3	3
24	-13	40	10	11
25	-11	55	16	18
26	-8	58	20	22
27	-5	62	24	25
28	-3	66	28	29
29	-2	72	32	33
30	0	80	35	36
31	3	83	39	40
32	6	85	43	43
33	8	89	47	47
34	10	94	51	51
35	11	100	54	54
36	14	102	58	58
37	17	105	62	61
38	19	108	65	65
39	21	112	69	68
40	22	117	72	72
41	25	119	76	75
42	28	120	81	79
43	31	123	85	83
44	32	126	89	86
45	34	131	93	90
46	38	133	97	94
47	41	135	102	97
48	44	137	107	101
49	46	141	111	105
50	48	147	115	109
51	52	151	119	113
52	55	156	123	117
53	58	163	127	121
54	61	171	130	125
55	64	180	134	129
56	67	183	137	133
57	70	186	141	137
58	72	191	145	141
59	74	195	149	145
60	76	202	152	148
61	80	205	157	152
62	84	207	161	156
63	88	210	165	160
64	90	214	169	165
65	93	220	173	169
66	95	222	177	172
67	98	225	181	176
68	101	228	186	180
69	104	232	190	184
70	106	237	194	188
71	110	239	198	192
72	112	241	203	196
73	115	243	207	201
74	117	247	212	205
75	119	252	216	209
76	122	255	220	212
77	125	257	223	216
78	128	260	227	220
79	131	265	231	223
80	133	270	235	227
81	139	273	238	230
82	144	276	241	234
83	149	281	244	237
84	154	286	247	241
85	158	292	249	244
86	163	296	253	248
87	169	300	256	251
88	174	303	259	255
89	179	309	262	259
90	183	315	265	262
91	187	317	269	266
92	193	321	272	269
93	198	325	275	273
94	202	329	279	276
95	206	335	282	280
96	213	338	285	283
97	217	340	288	287
98	222	344	291	290
99	226	348	294	294
100	230	353	297	297
101	238	355	300	300
102	244	358	303	304
103	251	361	306	307
104	256	364	309	311
105	260	369	313	314
106	266	371	316	318
107	272	374	318	321
108	279	377	321	325
109	284	381	324	329
110	287	385	328	332
111	292	387	330	335
112	295	389	334	338
113	298	392	337	342
114	300	396	341	345
115	302	400	345	348
116	307	402	348	351
117	310	405	351	354
118	312	408	355	357
119	315	411	358	360
120	317	415	362	363
121	320	417	365	367
122	323	419	368	370
123	326	422	372	373
124	328	425	375	376
125	330	429	379	379
126	334	430	382	382
127	337	433	385	385
128	339	436	389	388
129	341	439	392	391
130	344	442	395	395
131	348	444	398	398
132	352	446	402	401
133	354	448	405	404
134	356	451	408	407
135	358	454	412	410
136	363	456	415	414
137	368	458	418	417
138	372	461	422	420
139	375	464	425	424
140	378	467	429	427
141	382	469	432	430
142	386	471	435	433
143	389	473	438	436
144	392	475	441	439
145	394	479	445	443
146	400	480	447	446
147	406	482	451	449
148	411	483	454	452
149	414	485	457	455
150	417	488	460	458
151	423	489	463	461
152	429	491	466	464
153	433	493	469	467
154	436	495	472	471
155	440	497	475	474
156	448	498	478	477
157	456	499	480	480
158	462	501	483	483
159	468	503	486	486
160	471	506	489	489
161	481	510	495	495
162	486	520	501	501
163	489	534	506	508
164	491	550	512	514
165	493	567	517	521
166	501	574	525	529
167	507	583	534	537
168	511	597	542	545
169	514	614	550	553
170	517	631	558	561
171	533	636	564	569
172	546	642	572	577
173	555	650	580	586
174	560	661	588	594
175	565	675	596	603
176	572	681	604	610
177	576	687	612	617
178	580	693	619	624
179	582	701	626	631
180	584	713	633	638
181	592	718	641	645
182	598	724	648	652
183	602	729	656	659
184	606	736	664	666
185	609	746	671	673
186	619	750	678	680
187	626	756	685	687
188	631	761	692	694
189	635	768	700	701
190	638	776	707	708
191	651	782	714	714
192	660	788	720	721
193	666	796	727	728
194	672	804	734	735
195	677	812	741	742
196	686	819	747	748
197	692	825	754	755
198	698	832	761	762
199	705	841	767	769
200	710	850	774	776
201	717	855	780	782
202	723	861	786	788
203	728	867	792	794
204	733	878	798	800
205	737	890	803	806
206	743	896	809	812
207	750	902	815	818
208	754	909	821	824
209	758	917	827	830
210	762	929	833	836
211	767	933	839	842
212	773	940	846	848
213	777	946	852	854
214	781	955	858	860
215	784	964	864	866
216	790	968	870	872
217	796	974	876	878
218	800	979	882	884
219	804	986	888	890
220	807	995	894	896
221	815	999	900	902
222	821	1005	906	907
223	826	1011	911	913
224	832	1018	917	919
225	835	1026	923	925
226	841	1031	929	931
227	847	1036	935	937
228	852	1043	941	942
229	856	1051	947	948
230	860	1060	952	954
231	866	1064	958	960
232	872	1070	964	966
233	876	1076	970	972
234	881	1083	976	977
235	885	1091	982	983
236	892	1096	988	989
237	898	1099	994	995
238	904	1105	999	1001
239	910	1111	1005	1007
240	914	1119	1011	1012
241	923	1125	1017	1019
242	930	1129	1023	1025
243	935	1134	1029	1031
244	941	1140	1035	1037
245	946	1148	1041	1043
246	953	1154	1047	1049
247	961	1159	1053	1055
248	967	1165	1059	1061
249	972	1171	1065	1067
250	978	1181	1071	1072
251	985	1186	1077	1078
252	994	1192	1083	1084
253	1000	1197	1089	1090
254	1006	1204	1094	1096
255	1011	1210	1100	1102
256	1022	1215	1105	1108
257	1033	1220	1111	1114
258	1044	1225	1117	1120
259	1049	1232	1123	1126
260	1054	1239	1129	1132
261	1060	1243	1135	1138
