depth	min	max	median	mean
0	-67	-65	-66	-66
1	-66	-64	-65	-65
2	-65	-63	-64	-64
3	-64	-62	-63	-63
4	-64	-61	-62	-62
5	-63	-60	-61	-61
6	-61	-58	-59	-59
7	-59	-55	-57	-57
8	-57	-53	-54	-54
9	-55	-50	-52	-52
10	-54	-47	-50	-50
11	-52	-46	-48	-48
12	-50	-43	-46	-47
13	-49	-41	-45	-45
14	-49	-38	-43	-43
15	-48	-34	-41	-41
16	-43	-31	-36	-37
17	-40	-26	-32	-32
18	-37	-19	-27	-27
19	-35	-12	-22	-22
20	-34	-5	-17	-18
21	-23	1	-10	-10
22	-18	11	-3	-3
23	-15	25	4	4
24	-13	39	11	12
25	-11	55	18	19
26	-7	58	22	23
27	-4	61	26	27
28	-2	68	30	31
29	0	75	34	34
30	1	83	38	38
31	5	86	41	42
32	8	89	45	46
33	10	92	49	49
34	12	98	53	53
35	14	103	56	57
36	18	106	60	60
37	20	108	64	64
38	22	113	68	68
39	24	116	72	72
40	25	121	76	75
41	29	124	79	79
42	32	126	83	83
43	35	128	87	86
44	37	131	91	90
45	40	135	95	93
46	42	138	99	97
47	46	140	104	101
48	49	143	110	105
49	52	147	114	109
50	54	155	117	113
51	59	160	121	117
52	62	168	125	121
53	65	177	129	126
54	68	187	132	130
55	70	198	136	134
56	75	202	140	138
57	79	207	144	143
58	82	212	148	147
59	86	219	151	151
60	89	226	155	156
61	94	230	159	160
62	98	234	163	164
63	102	241	167	168
64	104	247	172	173
65	107	254	175	177
66	112	257	180	181
67	116	262	184	186
68	120	269	189	190
69	124	274	193	194
70	126	281	197	199
71	132	284	201	203
72	136	290	205	207
73	140	294	210	212
74	143	298	215	216
75	146	305	219	221
76	151	309	224	225
77	154	312	228	230
78	158	316	232	234
79	161	321	237	238
80	164	326	241	243
81	169	330	245	247
82	174	334	250	252
83	178	338	254	256
84	182	343	259	260
85	185	348	263	265
86	190	352	268	269
87	194	355	273	274
88	199	359	277	278
89	202	364	282	283
90	205	370	286	287
91	210	374	291	291
92	215	377	295	296
93	220	383	300	300
94	225	387	305	304
95	228	392	309	309
96	233	395	314	313
97	238	398	318	318
98	242	402	323	322
99	246	406	327	326
100	249	412	331	331
101	257	415	336	335
102	263	417	340	340
103	269	421	344	344
104	273	426	349	348
105	276	431	353	353
106	282	433	357	357
107	289	436	362	361
108	293	439	367	366
109	298	443	371	370
110	301	446	376	374
111	307	449	380	379
112	311	453	384	383
113	315	458	389	387
114	318	464	393	392
115	320	472	398	396
116	326	475	402	401
117	330	479	406	405
118	335	484	410	409
119	337	489	414	413
120	340	494	418	418
121	345	498	422	422
122	349	501	427	426
123	352	505	431	430
124	354	509	435	434
125	356	514	440	438
126	361	516	444	442
127	366	520	448	446
128	370	524	452	450
129	374	529	456	454
130	377	534	460	458
131	382	537	464	462
132	388	540	468	467
133	391	544	472	471
134	395	548	476	475
135	399	552	481	479
136	405	556	484	483
137	410	560	489	487
138	413	563	493	492
139	416	568	497	496
140	420	573	501	500
141	425	576	506	504
142	430	578	510	509
143	435	581	515	513
144	439	585	519	517
145	442	590	523	521
146	448	592	527	526
147	453	594	532	530
148	458	598	537	534
149	461	602	541	538
150	464	607	545	542
151	470	610	550	546
152	475	612	554	551
153	479	616	558	555
154	483	620	563	559
155	487	623	567	563
156	493	625	571	567
157	499	627	575	572
158	503	630	579	576
159	508	635	584	580
160	511	639	589	584
161	517	641	593	588
162	523	643	597	593
163	528	645	602	597
164	532	648	607	602
165	536	653	612	606
166	542	654	616	610
167	547	657	620	615
168	552	659	624	619
169	556	662	629	623
170	559	665	633	627
171	565	668	637	632
172	571	671	642	636
173	576	674	646	641
174	580	680	651	646
175	583	690	655	650
176	590	696	660	655
177	596	706	665	661
178	600	716	669	666
179	603	726	673	671
180	606	736	677	676
181	613	741	683	681
182	620	747	687	687
183	625	754	692	692
184	630	760	697	697
185	633	768	702	702
186	642	773	707	708
187	649	780	712	713
188	656	787	717	718
189	661	795	722	724
190	666	803	728	729
191	677	808	733	735
192	686	817	738	741
193	693	825	744	747
194	700	837	750	752
195	704	847	756	758
196	714	857	761	764
197	723	866	767	769
198	729	871	773	775
199	733	879	778	780
200	736	885	783	786
201	741	889	789	792
202	746	893	794	797
203	748	898	800	803
204	750	906	806	809
205	752	912	810	815
206	758	918	816	820
207	762	921	822	826
208	766	928	828	832
209	769	935	833	838
210	772	944	838	843
211	777	948	844	849
212	782	953	851	855
213	787	957	856	860
214	790	964	862	866
215	793	971	868	872
216	799	975	874	877
217	805	981	880	883
218	810	987	886	889
219	813	992	892	895
220	816	999	898	900
221	823	1005	903	906
222	829	1010	909	912
223	833	1019	914	918
224	838	1027	921	924
225	842	1037	927	930
226	848	1043	933	936
227	855	1047	939	942
228	860	1052	945	948
229	863	1058	951	954
230	867	1065	956	959
231	876	1071	962	965
232	880	1077	968	971
233	886	1084	975	977
234	890	1092	980	983
235	894	1101	987	989
236	902	1107	992	995
237	908	1111	998	1001
238	914	1115	1004	1006
239	918	1120	1010	1012
240	923	1126	1016	1018
241	931	1131	1021	1024
242	937	1136	1027	1029
243	943	1142	1033	1035
244	949	1149	1038	1041
245	952	1157	1044	1046
246	960	1161	1049	1052
247	967	1166	1054	1058
248	974	1172	1060	1063
249	977	1177	1066	1069
250	982	1182	1072	1075
251	994	1187	1077	1080
252	1001	1192	1083	1086
253	1007	1198	1089	1092
254	1015	1205	1095	1098
255	1020	1212	1101	1103
256	1034	1217	1106	1110
257	1044	1223	1112	1116
258	1053	1229	1119	1122
259	1058	1235	1125	1128
260	1063	1242	1131	1134
261	1068	1247	1137	1140
